,index,id,created_at,user_id,username,name,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,quote_url,video,thumbnail,reply_to,tweet_word_count,polarity,subjectivity
16,17,1507067992290562049,2022-03-24 19:53:03,226699293,allenjmichael,The MJA,"🏠 Beautiful Orion Twp Listing! 🏠  Address : 3007 Sandoval Drive, Orion Twp 48360  Bed : 3 Bath : 2.0 Sq ft : 1,789 School Dist : Lake Orion  Advertise with permission and listed by MICHELLE R ZARGHAMI of  Berkshire Hathaway HomeServices Kee Realty Roch.  https://t.co/KKkBscQogc",0,0,1,0,0,0,0,0,0,1,1,0,46,0.75,1.0
17,18,1507067356261994499,2022-03-24 19:50:32,15453,seldo,Laurie Voss,Berkshire Hathaway's site metadata indicates it was literally written in Microsoft Frontpage 97 and I believe them.,0,0,0,6,2,55,0,0,0,0,0,0,17,0.0,0.0
18,19,1507067048760791058,2022-03-24 19:49:19,88430015,hardyrarso,Hardy Rarso,This is twice today that I got a social media post about Berkshire Hathaway's website,0,0,0,0,0,0,0,0,1,0,0,0,15,0.03333333333333333,0.06666666666666667
19,20,1507066381451218946,2022-03-24 19:46:39,15453,seldo,Laurie Voss,"Obviously my *favorite* Fortune 500 website is Berkshire Hathaway, which is just awe-inspiringly, intentionally terrible, so bad it's magnificent, just gigawatts of big dick energy radiating from this website that says: we don't give a shit.  https://t.co/APNhPh9jJB",0,1,0,14,9,53,0,0,0,0,0,0,37,-0.06666666666666662,0.7611111111111111
20,21,1507064219211948032,2022-03-24 19:38:04,406096420,ikiiucul,iki,"fearful when others are greedy, and greedy when others are fearful. -WB berkshire hathaway, inc",0,0,0,0,0,0,0,0,0,0,0,0,15,-0.9,1.0
21,22,1507063206363156492,2022-03-24 19:34:02,45426145,teekjay59,Tom Jacobs,"Among the key factors in the Berkshire Hathaway-Alleghany deal are the companies' comparable philosophies and cultures, as well as the relationship between Warren Buffett and Alleghany CEO Joe Brandon.  https://t.co/KuQUK3k1O3",0,1,0,0,0,0,0,0,0,0,0,0,30,0.0,1.0
22,23,1507062944965791748,2022-03-24 19:33:00,3142162571,lynechter,Lyn Echter,"Thinking about selling your home? Get a quick estimate of your home's worth.  Lyn Echter, Berkshire Hathaway Ambassador Real Estate 402.658.8813  https://t.co/Mhj359TCSQ  https://t.co/Bd9VzCbb4c  https://t.co/0CkfJzzJbg",0,2,1,0,0,0,0,0,0,1,1,0,24,0.27777777777777773,0.3
23,24,1507061341722398725,2022-03-24 19:26:38,252925898,senmernewswire,Arthur Huang,Berkshire Hathaway HomeServices Florida Properties Group Ranks in Global Network Again — BHHS Florida Properties Group  https://t.co/ibKdkfazad,0,1,0,0,0,0,0,0,0,0,0,0,17,0.0,0.0
24,26,1507060716012019720,2022-03-24 19:24:09,52761258,townerealty,Towne Realty,Is your family ready for a change in homes? Try this one on for size! #BHHS #HRVA #realestate #experts #home #BerkshireHathaway #TowneRealty  https://t.co/gc9atJX3RU,0,1,0,0,0,0,7,0,0,0,0,0,23,0.25,0.5
25,27,1507060701285728257,2022-03-24 19:24:05,19074385,luxre,LuxuryRealEstate.com,"A modern abode oozing with comfort and convenience, this stunning new contemporary home is the best of luxury living in coveted Ortega &amp; Panama Park neighborhood 🏡  🗝 Intero - A Berkshire Hathaway Affiliate | $4,299,000 USD |  https://t.co/xUXbXZojS9  https://t.co/05svewuPBr",0,1,4,0,0,0,0,0,0,1,1,0,40,0.4006060606060606,0.4442424242424242
26,28,1507059190333911043,2022-03-24 19:18:05,1851801980,ninathornsburg,Nina Thornsburg,Follow these trends to add value to your kitchen!  Nina Thornsburg Berkshire Hathaway HomeServices NW Real Estate 206-817-5460  https://t.co/XFzjrc8c3R,0,0,0,0,0,0,0,0,0,1,1,0,19,0.2,0.30000000000000004
27,29,1507057857157599237,2022-03-24 19:12:47,41693274,carolynchesser,Carolyn Chesser,A vacant lot with a lot of possible options! Talk about flexibility. Call for a showing today! #RealEstate #newlisting Carolyn Chesser #BerkshireHathaway  https://t.co/Pxh4ZL3DFy,0,1,0,0,0,0,3,0,0,0,0,0,23,0.0,1.0
28,30,1507055415061667840,2022-03-24 19:03:05,147084822,immom529,amanda b-r,@matsholberg @portcitystudios 💯 i’m sure Berkshire Hathaway will scoop it up and build some monstrosity 🙄,0,0,0,2,0,1,0,0,0,0,0,2,16,0.5,0.8888888888888888
29,31,1507054322693120005,2022-03-24 18:58:44,2555225340,wsjcustom,WSJ Custom Content,Paid Program with Berkshire Hathaway HomeServices: What home-buying Millennials can learn from their parents … and vice versa.   https://t.co/HJllSpXoMs,0,1,0,0,0,0,0,0,0,0,0,0,19,0.0,0.0
30,32,1507051710707081228,2022-03-24 18:48:22,1456828856355201027,datadili,volume ticker,Berkshire Hathaway Inc. traded -1.25% below it's 52-wk high $BRK-B,0,0,0,0,0,0,0,1,0,0,0,0,10,0.16,0.5399999999999999
31,33,1507050864099348487,2022-03-24 18:45:00,61844385,rismediaupdates,RISMedia,"“We chose to partner with QuickBuy®, which works closely with our Forever Agents to properly determine a true home’s market value before making an offer.” -Kevin Waugaman, CEO of Berkshire Hathaway HomeServices Florida Network Realty    https://t.co/KbDjOkl1tN",0,1,0,0,0,0,0,0,0,0,0,0,36,0.175,0.375
32,34,1507050471256641554,2022-03-24 18:43:26,20742907,travisskonseng,Travis Skonseng,"The long house hunt is finally over. Contact me now for a showing! #homesforsale   https://t.co/pzEIn3lKKp  Berkshire Hathaway HomeServices Premier Properties 1815 38th St. S. Fargo, ND 58103  https://t.co/OHV69G62Qf",0,1,1,0,0,0,1,0,0,1,1,0,28,-0.025,0.7
33,35,1507047364867067922,2022-03-24 18:31:06,7963632,timoharerealtor,Tim O'Hare,"Thinking about selling your home? Get a professional estimate of your home's worth.  Tim O’Hare (901) 609 5038  Berkshire Hathaway HomeServices McLemore &amp; Co., Realty (901) 701-7555  #realestate #realtor #realestateagent #home #h...  https://t.co/BrYmvfmWT8  https://t.co/8xqQEGyvIU",0,1,1,0,0,0,5,0,0,1,1,0,34,0.2,0.1
34,36,1507047091713056771,2022-03-24 18:30:00,1241388957310398464,india_narrative,INDIA NARRATIVE,"World's fifth-richest man #WarrenBuffett Chairman of #BerkshireHathaway ,praised Indian-American businessman Mohnish Pabrai for the work at his Dakshana Foundation, which helps poor students prepare for IIT and medical entrance exams.   #IndiaNarrative  https://t.co/g3GUMb05UD",0,0,1,0,0,2,3,0,0,1,1,0,32,-0.2,0.3
35,37,1507046940961300482,2022-03-24 18:29:24,82847054,sandandland,Beth Livers,Check out this property just listed in 32963  Sand &amp; Land Team Berkshire Hathaway HomeServices - Florida Realty  https://t.co/1zvGu0d3ze  https://t.co/kx2MeMz14Q,0,1,1,0,0,0,0,0,0,1,1,0,20,0.0,0.0
36,38,1507046236263702537,2022-03-24 18:26:36,4294203440,sparky7u,Fred Sparkman,Berkshire Hathaway to Acquire Alleghany Corporation in $11.6 Billion Deal  https://t.co/7aqsp5fsVG,0,1,0,0,0,0,0,0,0,0,0,0,11,0.0,0.0
37,39,1507045822847803402,2022-03-24 18:24:58,1413900716679131136,jamesnsc,James Bradley Fatchett CIA/NSC,"Annual Proxy Voting Report by Investment Company (SEC Filing  https://t.co/McSFT8BCsT › view Aug 27, 2021 — ... S. Mengucci For For Management 1g Elect Director James L. Pavitt For For Management 1h Elect Director Warren ... BERKSHIRE HATHAWAY INC.",0,1,0,0,0,0,0,0,0,0,0,0,39,0.5,0.7999999999999999
38,40,1507045712260870145,2022-03-24 18:24:32,1413900716679131136,jamesnsc,James Bradley Fatchett CIA/NSC,"2020/08/14, Form N-PX - TIAA SEPARATE ACCOUNT VA 1  https://t.co/OvoHVyUK8b › sec Aug 17, 2021 — Berkshire Hathaway Inc. Ticker Security ID: Meeting Date Meeting ... John S. Mengucci Mgmt For For For 6 Elect James L. Pavitt Mgmt For For ...",0,1,0,0,0,0,0,0,0,0,0,0,42,0.35000000000000003,0.75
39,41,1507045698453311493,2022-03-24 18:24:28,1490754517176041481,flashnews7oday,FlashNewsToday,"News - It may not be the ""elephant-sized"" deal that Warren Buffett has long promised, but Berkshire Hathaway is making its biggest acquisition in years: it's buying insurer Alleghany for $11.6 billion in cash.  #News #Today #BreakingNews #World",0,0,0,0,0,0,4,0,0,0,0,0,38,-0.05,0.4
40,42,1507045567406362626,2022-03-24 18:23:57,1413900716679131136,jamesnsc,James Bradley Fatchett CIA/NSC,Proxy Voting Report - New York State Comptroller  https://t.co/OW9T9uj7Wy › files › documents › pdfPDF 1.4 Elect W. James Farrell. For. 1.5 Elect Edward M. Liddy ... Berkshire Hathaway Inc. Voted. Ticker. BRKA. Agenda Type ... 1.7 Elect James L. Pavitt.,0,1,0,0,0,0,0,0,0,0,0,0,41,0.634090909090909,0.7886363636363636
41,43,1507045268025450502,2022-03-24 18:22:46,52761258,townerealty,Towne Realty,The home of your dreams has arrived! #RealEstate #BHHS #HRVA #realestate #experts #home #BerkshireHathaway #TowneRealty  https://t.co/rJoRPiwr8k,0,1,0,0,0,0,8,0,0,0,0,0,16,0.0,0.0
42,44,1507043003252232196,2022-03-24 18:13:46,1420801537354440708,bhhstopeka1,Berkshire Hathaway HomeServices Topeka,"Finding your new home can be stressful and exciting at the same time. Here at Berkshire Hathaway First Realtors, we want to make the process as seamless and easy as possible.  https://t.co/DwSsCt8uxS",0,0,1,0,0,0,0,0,0,1,1,0,32,0.17424242424242425,0.520887445887446
43,45,1507040129814310927,2022-03-24 18:02:21,885070908,bhhsbeazley,"Beazley, REALTORS","The Builders Association and Sales &amp; Marketing Council of Metro Augusta recognized Robert Collins in the ""New Home Sales Agents"" category.   Berkshire Hathaway HomeServices Beazley, REALTORS®, celebrates their commitment to our communities and being your forever agent.  https://t.co/XtjzDfSvnm",0,0,1,0,0,0,0,0,0,1,1,0,38,0.13636363636363635,0.45454545454545453
44,46,1507037162264354826,2022-03-24 17:50:33,18190227,scofini,Shelly Cofini🏠💰📲,Brenda Wild Announces that REMAX Signature is now Berkshire Hathaway HomeServices Signature Properties  https://t.co/rSwHA1N8xx #News,0,1,0,0,0,0,1,0,0,0,0,0,15,0.1,0.4
45,47,1507033770435690496,2022-03-24 17:37:04,2920145583,adrienne_klase,Adrienne Klase,"Let's make sure you love the home you come back to!  Adrienne Klase, Realtor, RSPS, RDH, B.S.  Berkshire Hathaway HomeServices|Gallo Realty  Lewes, Delaware AdrienneKlase@GoToGallo.com  https://t.co/MwzW6M46aX O : 302-645-6661 C : 302-753-2240  https://t.co/desDIsghep  https://t.co/BlpswOGH21",0,2,1,0,0,0,0,0,0,1,1,0,33,0.3333333333333333,0.4962962962962963
46,48,1507033255232647175,2022-03-24 17:35:02,115480346,pensionsnews,Pensions & Investments,Berkshire Hathaway recently invested billions of dollars to buy Occidental Petroleum's common shares.  #PI_Charts #Investing #Markets #Equities #Economy #ChartoftheDay   https://t.co/PbwCDgwaCe,0,1,0,0,1,2,6,0,0,0,0,0,20,-0.15,0.375
47,49,1507031988103835651,2022-03-24 17:29:59,44215740,amsb777,Anthony Bordin,"As your Berkshire Hathaway trusted real estate advisor, you can always count on me to be on your side whether you are buying or selling real estate. I can be trusted with taking care of you and your most valuable assets. You can contact me at 805-729-0527  https://t.co/6FRR32JCpm",0,0,0,0,0,0,0,0,0,1,1,0,48,0.3,0.3666666666666667
48,50,1507031816355520513,2022-03-24 17:29:18,12967632,pixabo,ρixabo 🌻,"I will be selling long held $BRK.B today.    Wish I had known this sooner, Warren Buffet is out of touch and anti-futurist dinosaur.    I hope we can publicize this because many 401ks / pensions hold Berkshire Hathaway shares.   https://t.co/UhhqU6ZGTA",0,1,0,0,0,1,0,1,0,0,0,0,39,0.225,0.45
49,51,1507031783833063440,2022-03-24 17:29:11,72845155,kimvanhal,Kimberly Van Hal,"Fall in love with this 5 BD/ 3 BA in Fargo. Call, text or direct message me for more info.   https://t.co/UoB5Qgp05Z  Berkshire Hathaway HomeServices Premier Properties 1815 38th St. S. Fargo, ND 58103  https://t.co/vzxDJ7hkbN",0,1,1,0,0,0,0,0,0,1,1,0,34,0.3666666666666667,0.5
50,52,1507031775335403520,2022-03-24 17:29:09,2920145583,adrienne_klase,Adrienne Klase,"Let's make sure you love the home you come back to!  Adrienne Klase, Realtor, RSPS, RDH, B.S.  Berkshire Hathaway HomeServices|Gallo Realty  Lewes, Delaware AdrienneKlase@GoToGallo.com  https://t.co/MwzW6M46aX O : 302-645-6661 C : 302-753-2240  https://t.co/L0dCwrPnzK",0,1,1,0,0,0,0,0,0,1,1,0,32,0.3333333333333333,0.4962962962962963
51,53,1507030332981325835,2022-03-24 17:23:25,838053668473737216,bobknighthomes,Bob Knight,"Bob Knight, REALTOR - Associate Broker Berkshire Hathaway HomeServices Georgia Properties - 85 North Office 404-660-6421 Bob.knight@bhhsga.com  https://t.co/U8LaF3Huwj  https://t.co/tQPGpFhwRZ",0,1,1,0,0,0,0,0,0,1,1,0,19,0.0,0.0
52,54,1507028578579451906,2022-03-24 17:16:27,52761258,townerealty,Towne Realty,Open land like this has endless possibilities! #RealEstate #BHHS #HRVA #realestate #experts #home #BerkshireHathaway #TowneRealty  https://t.co/Sd1TSR3aNy,0,1,0,0,0,1,8,0,0,0,0,0,16,-0.078125,0.625
53,55,1507027673834532865,2022-03-24 17:12:51,1324181911355478017,bhletters,Quotes from Berkshire Hathaway Shareholder Letters,"When we first entered the property/casualty insurance business in 1967, my wildest dreams did not envision our current operation.  - 2007 Berkshire Hathaway Shareholder Letter  #WarrenBuffett #ShareholderLetter",0,0,0,0,0,0,2,0,0,0,0,0,27,0.125,0.3666666666666667
54,56,1507025882233204742,2022-03-24 17:05:44,54673206,shootingla,Michael McNamara," https://t.co/ah1DDijUB6  659 Erskine Dr, Pacific Palisades, CA 90272  Offered at $2,995,000  3 bd | 2 ba | 2,249 sq ft  Ellen McCormick | BRE 00872518 | Berkshire Hathaway  First time on the market in over 50 years, this is a prime opportunity to renovate a well loved home",0,1,0,0,0,0,0,0,0,0,0,0,48,0.475,0.5666666666666667
55,57,1507023390577774595,2022-03-24 16:55:50,1171873456276889600,investor_feed,Docoh Feed,"$BRK.A  PX14A6G  Berkshire Hathaway   (24 Mar, 11:53am)  📄 Notice of Exempt Solicitation   https://t.co/I0FUYkdK2j  #BRK.A #PX14A6G #BerkshireHathaway #Proxy",0,1,0,0,0,0,4,1,0,0,0,0,17,0.0,0.0
56,58,1507022961827627015,2022-03-24 16:54:07,20418821,kerynenterprise,"Keryn Young, Realtor ®-BHHSCalifornia-Lic 01715093","Which cabin in the woods do you want to retreat to? #MaineCabinMasters   KERYN YOUNG - REALTOR®  CRS, GRI. ABR  858-882-7080  -   Keryn@KerynYoung.com  https://t.co/FTkJxzmIwP  Berkshire Hathaway HomeServices California Properties Lic #: 01715093  https://t.co/KTHoHAgbQa",0,1,1,0,0,0,1,0,0,1,1,0,32,0.1,0.4
57,60,1507016826701574154,2022-03-24 16:29:45,2793962876,vikingfund,viking,$BRKA / $BRKB Berkshire Hathaway pays 9 million a day in taxes.,0,0,0,0,0,1,0,2,0,0,0,0,12,0.0,0.0
58,61,1507016320662925329,2022-03-24 16:27:44,827212847012773888,diamondrafargo,Diamond Realty Assoc,"See a virtual tour of my listing on 115 3Rd Street Sw #Rothsay #MN  #realestate  https://t.co/7WBhiiZi7Y  Berkshire Hathaway HomeServices Premier Properties 1815 38th St. S. Fargo, ND 58103  https://t.co/kXELKtVpI8",0,1,1,0,0,0,3,0,0,1,1,0,29,0.0,0.0
59,62,1507015831057682434,2022-03-24 16:25:47,999632398525530114,stevehamel16,Steve Hamel 👀🇺🇦🦊,"""if you look at the top 10 market cap companies in the US stock market , 9 are great at AI and the 10th is Berkshire Hathaway and they have Warren Buffett"" - @mcuban    https://t.co/a8EDgssDKn",3,1,0,0,0,2,0,0,0,0,0,0,35,0.65,0.625
60,63,1507013267981406222,2022-03-24 16:15:36,292493418,num8ersguy,numbersguy,I have the utmost respect for Warren Buffett and Berkshire Hathaway but I still can’t wrap my head around that Barrick Gold trade last year. Very uncharacteristic.,0,0,0,0,0,3,0,0,0,0,0,0,27,0.1,0.18333333333333332
61,64,1507012767940718592,2022-03-24 16:13:37,52761258,townerealty,Towne Realty,A lot like this has so many building options. What will you build on top of it? #BHHS #HRVA #realestate #experts #home #BerkshireHathaway #TowneRealty  https://t.co/XBQefNfGCd,0,1,0,0,0,0,7,0,0,0,0,0,25,0.5,0.5
62,65,1507011585788702726,2022-03-24 16:08:55,1457785359396491265,mr_c_of_glass,The Lav👁sh Aristocrat,I’m asking 1 time.  Offering one time.  If it’s a no I’m moving on. There is no ask again.  Berkshire Hathaway ain’t for most people.,0,0,0,0,0,0,0,0,0,0,0,0,25,0.5,0.5
63,66,1507011172674916355,2022-03-24 16:07:17,880419715,homedreamz,Marvette Cofield,"Kitchen? Bathroom? Let me know!   Marvette Cofield, Associate Broker, Berkshire Hathaway HomeServices Select  https://t.co/5eDtlkrN5C",0,0,0,0,0,0,0,0,0,1,1,0,14,0.0,0.0
64,67,1507009589295792131,2022-03-24 16:00:59,332364947,simonsalhanyre,BHHS Simon & Salhany,Berkshire Hathaway HomeServices Simon &amp; Salhany Realty Inc See a virtual tour of our listing on 1646 Thornapple Avenue #Akron #OH  #realestate  https://t.co/89Jy4Fj4Et  https://t.co/CLFjtg8Vlf,0,1,1,0,0,0,3,0,0,1,1,0,24,0.0,0.0
65,68,1507007914535313418,2022-03-24 15:54:20,1203153101441634309,goodletterco,Good Letter,"Letter to shareholders 1977 from Berkshire Hathaway by Warren E. Buffett 📄 Operating earnings in 1977 of $21,904,000, or $22.54 per  share, were moderately better than anticipated a year ago.  https://t.co/YjOMXV56bC",0,1,0,0,0,0,0,0,0,0,0,0,31,0.5,0.5
66,69,1507007910076837894,2022-03-24 15:54:19,82847054,sandandland,Beth Livers,Check out this property just listed in 32963  Sand &amp; Land Team Berkshire Hathaway HomeServices - Florida Realty  https://t.co/8bPkEeXF0l  https://t.co/SNSj300zce,0,1,1,0,0,0,0,0,0,1,1,0,20,0.0,0.0
67,70,1507006426211762192,2022-03-24 15:48:25,1499147238949502979,truthaboveallz,TruthAboveAllElse,#AMC #MOASS  #WallStreetCrime #TheSYNDICATE #KennyGriffin #LovesMayo #MayoBoy  Not kidding.  When the hedge funds start covering all you gotta do is have a few shares.  6 figures for 1 share will happen. Berkshire Hathaway type share price.  But look early Dark Pool %  https://t.co/XvyrBBJ0hm,0,0,1,0,0,1,7,0,0,1,1,0,43,-0.08333333333333333,0.26666666666666666
68,72,1507003880332271619,2022-03-24 15:38:18,980467278385958912,llcbillionaire,Billionaireclubcollc.com,"( $SHEL), Berkshire Hathaway Inc. (NYSE:BRK-A) – Oil Giant Shell Partners With Buffett-Backed EV Company, Offers Tesla Subscriptions In Germany $BYDDY $NIO  https://t.co/J8xe05k3RZ",0,1,0,0,0,0,0,3,0,0,0,0,23,0.05,0.5
69,73,1507003876620357635,2022-03-24 15:38:17,52761258,townerealty,Towne Realty,Are you a potential first-time homeowner? Let's make your dreams come true. #LetsTalk #RealEstate #BHHS #HRVA #realestate #experts #home #BerkshireHathaway #TowneRealty  https://t.co/CxmMk1YKSL,0,1,0,0,0,0,9,0,0,0,0,0,22,0.175,0.825
70,74,1507003442765565954,2022-03-24 15:36:34,249532641,sequencecentral,SequenceCentral,Berkshire Hathaway's Annual Letter to Shareholders (February 2022 for YE 2021)  https://t.co/H6gCjs1mox #tech,0,1,0,0,0,0,1,0,0,0,0,0,13,0.0,0.0
71,75,1506999878458568717,2022-03-24 15:22:24,1259213974131937282,insiderpurchase,SEC - Insider Purchases,"$OXY - Occidental Petroleum Corp /De/ #OccidentalPetroleum Berkshire Hathaway Inc (10%) purchases +27,107,389 shares for $1,534,168,236 increasing his stake by +30%.  Share price: $56.60   https://t.co/OJPUkqA7dO",0,1,0,0,0,0,1,1,0,0,0,0,25,0.0,0.0
72,76,1506999869671874562,2022-03-24 15:22:22,1259213974131937282,insiderpurchase,SEC - Insider Purchases,"$OXY - Occidental Petroleum Corp /De/ #OccidentalPetroleum Berkshire Hathaway Inc (10%) purchases +61,351,818 shares for $2,147,483,647 increasing his stake by +205%.  Share price: $50.88   https://t.co/JumCBq32qB",0,1,0,0,0,0,1,1,0,0,0,0,25,0.0,0.0
73,77,1506999310520500224,2022-03-24 15:20:08,1348054793374191617,u_ag_,Scott,"@omro1975 @Caseforsilver With due respect, I don’t think share price matters 👍 by the time UUUU reaches $80, CCJ will be trading at far higher market cap imo 🔥👍 $500k per share price of Berkshire Hathaway hasn’t stopped it from going up 👍",0,0,0,1,0,2,0,0,0,0,0,2,43,0.075,0.625
74,78,1506998721032118274,2022-03-24 15:17:48,1187471640378171392,itstruenorth,True North Research,"The Others 🚩 There’s David Sokol, who used to work for Berkshire Hathaway; Dennis Washington, a billionaire from mining and shipping interests; and the half-billionaire John Dicke, a global forklift manufacturer. There’s more.  https://t.co/L4hc1yEqze",0,1,0,1,11,22,0,0,0,0,0,0,34,0.25,0.25
75,80,1506997724692025344,2022-03-24 15:13:50,1445432119464013832,alljerseyhomei1,AllJerseyHomeInspection,"🌟 Every month we highlight NJs brightest Realty Stars 🌟   This month I had the pleasure of sitting down with Richard Debenedictis, a realtor at Berkshire Hathaway in Bayonne, NJ.  Great Realtor to know and trust! 👍  #realtorspotlight #njrealtor #realtor #njrealtors  https://t.co/OcoNNT8VoE",0,0,1,0,5,4,4,0,0,1,1,0,42,0.4222222222222222,0.5194444444444445
76,81,1506996328357941256,2022-03-24 15:08:17,271513632,cmftransitional,CMFTO,"At CMFTO, we’re fortunate enough to collaborate regularly with trusted, world-class professionals. That includes a longtime partnership with @topbrokerjanet, a top Berkshire Hathaway HomeServices broker and dear friend. Read about our great partnership:  https://t.co/ILtHdjfOM6",3,1,0,0,0,0,0,0,0,0,0,0,34,0.34,0.5053846153846153
77,84,1506994753270951943,2022-03-24 15:02:02,1137010656685826054,fw_livingstone,Peter Livingstone,Berkshire Hathaway agrees $11.6bn Alleghany acquisition  Read the latest FW News post here:  https://t.co/Tue93EBcbz  #Mergers #Acquisitions #PrivateEquity  https://t.co/gMHW1N8cEL,0,1,1,0,0,0,3,0,0,1,1,0,18,0.5,0.9
